"","Sprat","Sandeel","N.pout","Herring","Dab","Whiting","Sole","Gurnard","Plaice","Haddock","Cod","Saithe"
"1947",NA,NA,NA,581760,NA,NA,NA,NA,NA,NA,NA,NA
"1948",NA,NA,NA,502100,NA,NA,NA,NA,NA,NA,NA,NA
"1949",NA,NA,NA,508500,NA,NA,NA,NA,NA,NA,NA,NA
"1950",NA,NA,NA,491700,NA,NA,NA,NA,NA,NA,NA,NA
"1951",NA,NA,NA,600400,NA,NA,NA,NA,NA,NA,NA,NA
"1952",NA,NA,NA,664400,NA,NA,NA,NA,NA,NA,NA,NA
"1953",NA,NA,NA,698500,NA,NA,NA,NA,NA,NA,NA,NA
"1954",NA,NA,NA,762900,NA,NA,NA,NA,NA,NA,NA,NA
"1955",NA,NA,NA,806400,NA,NA,NA,NA,NA,NA,NA,NA
"1956",NA,NA,NA,675200,NA,NA,NA,NA,NA,NA,NA,NA
"1957",NA,NA,NA,682900,NA,NA,12809,NA,78443,NA,NA,NA
"1958",NA,NA,NA,670500,NA,NA,15024,NA,88191,NA,NA,NA
"1959",NA,NA,NA,784500,NA,NA,14797,NA,109164,NA,NA,NA
"1960",NA,NA,NA,696200,NA,NA,20115,NA,117334,NA,NA,NA
"1961",NA,NA,NA,696700,NA,NA,26367,NA,118474,NA,NA,NA
"1962",NA,NA,NA,627800,NA,NA,28403,NA,125375,NA,NA,NA
"1963",NA,NA,NA,716000,NA,NA,26917,NA,148376,NA,118055,NA
"1964",NA,NA,NA,871200,NA,NA,11645,NA,147571,NA,144080,NA
"1965",NA,NA,NA,1168800,NA,NA,18915,NA,140223,NA,198223,NA
"1966",NA,NA,NA,895500,NA,NA,37693,NA,166552,NA,241058,NA
"1967",NA,NA,NA,695500,NA,NA,36071,NA,163365,NA,286656,102830
"1968",NA,NA,NA,717800,NA,NA,35411,NA,139521,NA,292971,137037
"1969",NA,NA,NA,546700,NA,NA,30179,NA,142820,NA,225331,152589
"1970",NA,NA,NA,563100,NA,NA,21979,NA,159982,NA,251642,275177
"1971",NA,NA,NA,520100,NA,NA,26406,NA,136939,NA,350638,314332
"1972",NA,NA,NA,497500,NA,NA,23372,NA,142475,NA,362786,300506
"1973",NA,NA,NA,484000,NA,NA,21290,NA,143783,407970,259812,278929
"1974",463344,NA,NA,275100,NA,NA,20370,NA,157485,344861,236305,341454
"1975",732312,NA,NA,312800,NA,NA,22991,NA,195235,396836,247507,308360
"1976",628598,NA,NA,174800,NA,NA,19052,NA,166917,495078,248057,432842
"1977",385257,NA,NA,46000,NA,NA,19977,NA,176689,402360,264717,242623
"1978",458804,NA,NA,11000,NA,188222,23131,NA,159639,240394,357383,179360
"1979",463638,NA,NA,25100,NA,243570,24737,NA,213282,146733,341262,144251
"1980",387434,NA,NA,70764,NA,223361,16830,NA,171844,149190,395105,146784
"1981",280582,NA,NA,174879,NA,192119,17336,NA,174264,202674,397436,150025
"1982",162357,NA,NA,275079,NA,140250,25674,NA,205280,226530,382353,205438
"1983",115440,534459,NA,387202,NA,161316,29582,NA,220262,256136,319729,205618
"1984",113444,631969,376555,428631,NA,145636,31019,NA,236588,253237,277239,245304
"1985",62514,547660,227482,613780,NA,100330,27102,NA,232387,247297,241107,280080
"1986",27520,890629,180508,671488,NA,161494,20110,NA,308831,247317,228000,236975
"1987",53942,817387,148894,792058,NA,138737,19524,NA,359283,223843,257172,195412
"1988",103652,893470,109295,887686,NA,133215,23617,NA,324975,195106,205961,156416
"1989",58420,1019944,166559,787899,NA,123533,25695,NA,286684,180062,178693,126442
"1990",78180,603338,139095,645229,NA,152602,39990,NA,240678,127703,138279,126899
"1991",125815,822551,190406,658008,NA,126742,36696,NA,238212,86743,117936,133738
"1992",156471,829420,302490,716799,NA,108555,31895,NA,193776,97204,139496,117430
"1993",208848,580235,181265,671397,NA,116911,36739,NA,163522,134969,158114,135114
"1994",424206,864151,183585,568234,NA,101650,38228,NA,145710,180145,149349,128818
"1995",446555,740685,231772,579371,NA,105494,33633,NA,131176,169385,161684,143477
"1996",95496,765945,156079,275098,NA,76123,25018,NA,143435,168815,151419,130549
"1997",125174,1197299,156937,264313,NA,61435,16954,NA,193103,204822,186095,121522
"1998",188907,997714,75034,391628,NA,47475,24334,NA,183561,169954,192991,118478
"1999",243158,736732,92302,363163,NA,60845,27476,NA,160702,161971,115087,120397
"2000",222027,616626,184970,388157,NA,63806,25940,NA,135065,123405,94789,94676
"2001",153321,863051,64373,374065,NA,45242,22861,NA,193221,126824,60644,104100
"2002",174713,852888,77108,394709,NA,46450,18658,NA,134277,173353,67680,129846
"2003",174988,300153,24647,482281,35219,45640,19285,NA,153997,155174,38320,121656
"2004",231352,352359,13487,587698,54363,33557,20938,NA,127989,74406,37211,113791
"2005",280275,173366,42,663813,42920,28883,17696,NA,119046,72470,42728,119234
"2006",78028,285600,46553,514597,44828,36769,13588,NA,131303,64085,33096,128710
"2007",99902,227686,5796,406482,48214,26974,15506,NA,100949,66962,53608,106334
"2008",69892,344984,34844,257870,43208,28247,14616,NA,105329,67371,52532,129886
"2009",170934,332943,45813,168443,36024,28430,15213,NA,108262,47759,54452,114519
"2010",145415,413419,131078,187611,40461,34436,14849,NA,116910,47968,48616,104723
"2011",122472,436188,6843,226478,50765,30668,13188,NA,118100,45442,44553,102007
"2012",96030,99412,26947,434710,51882,30221,14696,8345,141932,49661,40307,87049
"2013",60207,277242,82109,511416,59679,26573,15958,10230,126247,43195,42061,87269
"2014",190268,222053,44164,517356,60087,28375,14640,8596,133623,47092,46078,82172
"2015",298227,310306,57417,494099,58780,36287,14590,8451,134460,46295,51677,81446
"2016",227169,68876,60241,563610,52454,33396,15323,12129,136949,41571,51942,77672
"2017",135824,517346,33940,498437,49896,29344,13573,17121,114289,43133,48087,94586
"2018",190779,267203,36130,603536,35113,28407,12265,11418,105787,40801,48599,95447
"2019",136523,206988,51613,442138,44792,31286,10607,9282,86086,39524,37782,96645
"2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
