,Sprat,Sandeel,N.pout,Herring,Dab,Whiting,Sole,Gurnard,Plaice,Haddock,Saithe,Cod
Sprat,0.729129193,0.034084397,0.063545168,0.274169821,0.362415517,0.265259239,0.29795558,0.175155764,0.370659753,0.081355468,0.016813208,0.337579694
Sandeel,0.034084397,0.681198823,0.048924317,0.058882137,0.097366626,0.075100109,0.060208599,0.059926486,0.078018549,0.093957302,0.016090222,0.099434528
N.pout,0.063545168,0.048924317,0.796604291,0.297550686,0.090887976,0.299898861,0.016790196,0.306241408,0.078558182,0.549175536,0.294989365,0.325022556
Herring,0.274169821,0.058882137,0.297550686,0.658901042,0.28963957,0.373739266,0.200141394,0.275106272,0.277918666,0.348354692,0.126205909,0.404779301
Dab,0.362415517,0.097366626,0.090887976,0.28963957,0.80817768,0.333897274,0.380474642,0.220412003,0.56492206,0.131680645,0.031381974,0.41647801
Whiting,0.265259239,0.075100109,0.299898861,0.373739266,0.333897274,0.709282295,0.192274555,0.371099036,0.295038071,0.391647869,0.102281677,0.440608792
Sole,0.29795558,0.060208599,0.016790196,0.200141394,0.380474642,0.192274555,0.71558049,0.106778949,0.391373167,0.034477994,0.012420547,0.257612288
Gurnard,0.175155764,0.059926486,0.306241408,0.275106272,0.220412003,0.371099036,0.106778949,0.880105004,0.164921197,0.357354438,0.123519938,0.351832821
Plaice,0.370659753,0.078018549,0.078558182,0.277918666,0.56492206,0.295038071,0.391373167,0.164921197,0.719223911,0.112485135,0.03294939,0.350436708
Haddock,0.081355468,0.093957302,0.549175536,0.348354692,0.131680645,0.391647869,0.034477994,0.357354438,0.112485135,0.85830725,0.261674698,0.395773411
Saithe,0.016813208,0.016090222,0.294989365,0.126205909,0.031381974,0.102281677,0.012420547,0.123519938,0.03294939,0.261674698,0.663835533,0.208944965
Cod,0.337579694,0.099434528,0.325022556,0.404779301,0.41647801,0.440608792,0.257612288,0.351832821,0.350436708,0.395773411,0.208944965,0.786547055